student_id,course_id
104387,115540
100522,115552
100522,115560
100522,150974
100522,182546
100522,183215
101934,115552
104178,115509
104178,115564
104178,178065
104178,115516
104178,115563
104178,115561
104178,175208
103008,115510
103008,115511
103008,115571
103008,115586
103008,150974
102970,115554
102970,115560
102970,172214
102970,115564
102970,172247
102770,115509
102770,115522
102770,115524
102770,178457
102770,115518
102770,115552
102770,115525
102770,115561
102770,115516
102770,115519
103924,115518
103924,115522
103924,115552
103924,115524
103924,115525
103924,115526
103924,115561
103924,115519
103924,150170
100912,178065
100912,115517
100912,115518
100912,115541
100912,115527
100912,115564
100912,115535
100912,115540
100912,108297
100912,108300
100912,108307
101007,113085
101007,113149
101007,172215
101007,113138
101007,113140
101007,113142
101007,113197
101007,123466
103827,115509
103827,115541
103827,115529
103827,115530
103827,115579
103827,115533
103827,115552
101726,107492
101726,113067
101726,118749
101726,121742
101844,115509
103799,123955
103799,123974
103049,150362
103049,113139
103049,172243
103049,181925
102526,172217
102526,113145
102526,172245
102526,172215
102526,184280
100850,113085
100850,172214
100850,113138
100850,113168
100850,172247
100850,113097
100850,123882
101679,172201
101679,172214
101898,113085
101898,183979
101898,113149
101898,172215
101898,113153
101898,113197
101898,113140
100278,123930
100278,177101
100278,123973
100278,177102
103299,115509
103299,115569
103299,115530
103299,115531
103299,115552
103299,178459
103299,115564
103299,115540
100518,113167
100518,113142
100518,172243
103746,113067
103746,113076
103865,115509
103865,115564
103865,115571
103865,178065
103865,115535
103865,115560
103865,115530
103865,115573
103865,115516
103865,115542
100169,115530
100169,115532
100169,115552
100169,115533
100169,172198
100169,178065
100169,178459
100169,115569
101344,115509
101344,115564
101344,115531
101344,115516
101344,150974
101344,182546
101344,115535
101301,115509
101301,115518
101301,115552
101301,115524
101301,115561
101301,115519
101301,178457
100329,115511
100329,115529
100329,115552
100329,115530
100329,115541
100329,115573
100329,115510
100329,115535
100329,115564
103787,115518
103787,115552
103787,115524
103787,115561
103787,115516
103787,115578
104489,115541
104489,115552
104489,178065
104489,115509
104489,115516
104489,115578
104184,115509
104184,115552
104184,178065
104184,115540
104184,115586
104184,150974
104553,112310
104553,115509
104553,115569
104553,112235
104553,115530
104553,115532
104553,115552
104553,106995
104553,172198
104553,178459
104553,112322
102784,113043
103487,115540
103487,115586
103487,115578
103487,115579
103487,115548
103407,115509
103407,115552
103407,115524
103407,115526
103407,115516
103407,175208
102288,115518
102288,115552
102288,115524
102288,178065
101713,115594
101713,115586
101543,115509
101543,115552
101543,115511
101543,115564
101543,115510
101543,115541
101543,150974
101543,115537
101881,115560
101881,115561
101881,115578
101881,115540
