level_id,term_id,course_id,grade_code,student_id
GR,2061,115540,A,104387
GR,2061,115580,S,104387
GR,2121,115509,A-,100522
GR,2121,115516,A-,100522
GR,2121,115540,A-,100522
GR,2121,178065,A-,100522
GR,2124,115537,B+,100522
GR,2124,115541,A-,100522
GR,2124,115552,A,100522
GR,2124,115560,A,100522
GR,2127,115564,A+,100522
GR,2127,150974,A,100522
GR,2127,182546,A,100522
GR,2127,182546,A,100522
GR,2127,182546,A+,100522
GR,2127,183215,A,100522
GR,2117,115509,B+,101934
GR,2117,115552,A,101934
GR,2121,115564,A-,101934
GR,2121,178065,F,101934
GR,2124,115530,B,101934
GR,2124,178065,C,101934
GR,2101,113145,B,102590
GR,2121,115509,A,104178
GR,2121,115564,A,104178
GR,2124,115552,A+,104178
GR,2124,178065,A,104178
GR,2127,115516,A,104178
GR,2127,115563,A,104178
GR,2131,115554,A+,104178
GR,2131,115560,A+,104178
GR,2134,115550,A-,104178
GR,2134,115561,A,104178
GR,2137,150169,A-,104178
GR,2137,175208,A,104178
GR,2091,115509,A-,103008
GR,2091,115510,A,103008
GR,2091,115511,A,103008
GR,2091,115552,B-,103008
GR,2094,115541,B,103008
GR,2094,115560,A+,103008
GR,2094,115573,A-,103008
GR,2094,177512,A-,103008
GR,2097,115564,A-,103008
GR,2097,115571,A,103008
GR,2097,115586,A,103008
GR,2097,150974,A,103008
GR,2111,113167,B+,102970
GR,2111,115554,A,102970
GR,2111,115560,A,102970
GR,2111,172214,A,102970
GR,2114,113139,B,102970
GR,2114,113168,B,102970
GR,2114,115564,A,102970
GR,2114,177337,B,102970
GR,2114,178065,A-,102970
GR,2117,115509,A-,102970
GR,2117,172247,A,102970
GR,2117,180519,S,102970
GR,2121,115509,A,102770
GR,2121,115522,A,102770
GR,2124,115524,A,102770
GR,2124,115526,A-,102770
GR,2127,150169,A-,102770
GR,2127,178457,A,102770
GR,2131,115518,A,102770
GR,2131,115552,A,102770
GR,2134,115525,A,102770
GR,2134,115561,A,102770
GR,2137,115516,A,102770
GR,2137,115519,A,102770
GR,2071,115509,A-,103924
GR,2071,115518,A,103924
GR,2071,115522,A,103924
GR,2071,115552,A,103924
GR,2074,115524,A,103924
GR,2074,115525,A,103924
GR,2074,115526,A,103924
GR,2074,115561,A,103924
GR,2077,115519,A,103924
GR,2077,115580,S,103924
GR,2077,150169,A-,103924
GR,2077,150170,A,103924
GR,2131,115509,A-,100912
GR,2131,115516,A-,100912
GR,2131,178065,A,100912
GR,2134,115517,A,100912
GR,2134,115518,A,100912
GR,2134,115541,A,100912
GR,2141,115527,A,100912
GR,2141,115552,A+,100912
GR,2141,115564,A,100912
GR,2144,115525,B,100912
GR,2144,115535,A,100912
GR,2144,115540,A,100912
UG,2061,107591,A-,100912
UG,2061,107601,C,100912
UG,2061,108297,A,100912
UG,2064,107498,A-,100912
UG,2064,108297,A,100912
UG,2064,119280,C-,100912
UG,2064,119280,x,100912
UG,2064,122546,F,100912
UG,2071,108300,A,100912
UG,2071,108307,A,100912
UG,2071,110502,x,100912
UG,2071,110502,B,100912
UG,2071,170652,B,100912
UG,2074,107493,B+,100912
UG,2074,107505,B,100912
UG,2074,107635,B,100912
UG,2074,108337,A-,100912
UG,2081,107499,A-,100912
UG,2081,110758,B-,100912
UG,2081,119316,F,100912
UG,2081,119316,x,100912
UG,2081,122059,B,100912
UG,2084,107515,A-,100912
UG,2084,109486,x,100912
UG,2084,109486,F,100912
UG,2084,111287,B-,100912
UG,2084,122041,G,100912
UG,2087,109483,x,100912
UG,2087,109483,C-,100912
UG,2087,110746,B+,100912
UG,2087,119284,B,100912
GR,2141,113085,A,101007
GR,2141,113149,A,101007
GR,2141,115059,S,101007
GR,2141,172215,A,101007
GR,2141,181942,A-,101007
GR,2144,113138,A,101007
GR,2144,113140,A,101007
GR,2144,113142,A,101007
GR,2144,113144,B,101007
GR,2144,172231,B+,101007
GR,2151,113197,A,101007
GR,2151,123466,A,101007
GR,2151,172236,A-,101007
GR,2061,115509,A,103827
GR,2061,115564,A-,103827
GR,2064,115510,A-,103827
GR,2064,115541,A,103827
GR,2067,115578,A+,103827
GR,2067,115580,S,103827
GR,2071,115511,A+,103827
GR,2071,115529,A,103827
GR,2074,115530,A,103827
GR,2074,115579,A,103827
GR,2077,115533,A,103827
GR,2077,115552,A,103827
UG,2061,106580,x,101726
UG,2061,106580,C-,101726
UG,2061,111279,A+,101726
UG,2061,113059,A-,101726
UG,2061,113065,B,101726
UG,2064,107492,A,101726
UG,2064,107572,B+,101726
UG,2064,113067,A,101726
UG,2064,118749,A,101726
UG,2064,121742,A,101726
GR,2121,115509,A,101844
GR,2121,115529,A-,101844
GR,2121,115564,A-,101844
GR,2121,178461,A-,101844
GR,2061,109380,x,103591
GR,2071,109380,x,103591
GR,2074,109380,x,103591
GR,2077,109380,x,103591
GR,2081,109380,x,103591
GR,2084,109380,x,103591
GR,2084,113149,B+,103799
GR,2084,123930,B,103799
GR,2084,123955,A,103799
GR,2084,123967,B+,103799
GR,2087,123968,A-,103799
GR,2087,123985,A-,103799
GR,2087,150121,B+,103799
GR,2087,172214,B+,103799
GR,2091,113154,B,103799
GR,2091,123947,B+,103799
GR,2091,123973,B,103799
GR,2091,123975,B,103799
GR,2094,123974,A,103799
GR,2094,123976,B,103799
GR,2094,123977,A-,103799
GR,2121,113085,B+,103049
GR,2121,113149,B,103049
GR,2121,113167,A-,103049
GR,2121,150362,A,103049
GR,2121,181942,A-,103049
GR,2124,113139,A,103049
GR,2124,113168,B,103049
GR,2124,172228,A-,103049
GR,2124,172231,B+,103049
GR,2124,180587,B,103049
GR,2127,172243,A,103049
GR,2131,113154,B+,103049
GR,2131,181925,A,103049
GR,2181,113167,B,102526
GR,2181,172217,A,102526
GR,2181,183979,B+,102526
GR,2181,185677,S,102526
GR,2184,113140,A-,102526
GR,2184,113145,A,102526
GR,2184,113168,B,102526
GR,2184,172245,A,102526
GR,2191,113139,A-,102526
GR,2191,113153,A-,102526
GR,2191,172215,A,102526
GR,2191,184280,A,102526
GR,2194,185933,0,102526
GR,2131,113085,A,100850
GR,2131,113167,B+,100850
GR,2131,115060,S,100850
GR,2131,172214,A,100850
GR,2134,113138,A,100850
GR,2134,113144,B,100850
GR,2134,113168,A,100850
GR,2134,172247,A,100850
GR,2141,113097,A,100850
GR,2141,113153,B+,100850
GR,2141,113154,B,100850
GR,2141,123882,A,100850
GR,2144,113151,B,100850
GR,2191,113149,C+,101679
GR,2191,172201,x,101679
GR,2191,172201,A,101679
GR,2191,172214,A,101679
GR,2191,185677,NC,101679
GR,2194,113145,0,101679
GR,2194,113154,0,101679
GR,2194,113167,0,101679
GR,2194,115059,0,101679
GR,2194,172217,0,101679
GR,2201,113097,0,101679
GR,2201,172215,0,101679
GR,2201,189242,0,101679
