student_id,new_id
ABAB54477FF6FB8FFE8623820AF4F0CFE056FE2B,100000
C8A5E4BA5AE9FB72E0D8C559C8A7A068B1954433,100001
38C6B2413D0B3D1B96AAECA9F7522929DB3B32A8,100002
B9B74A30005C67CA11928BF5D13A4588773E9DFF,100003
08F8A099C51A5C0E84646F22053BC3441639D06A,100004
ADC7156A24B7E1B8D91217AF8019CCFFAE728A68,100005
31825EF153572D76EA1A89C942A2E11AB36879D3,100006
E2642FF82F8660B07C453C91A5F7A4B9DE97CA3A,100007
E7FAEF4B663936169188CC8FFDDB53DCD748EEE6,100008
33AE3C34F7E765EEE2B93AA7DCC37E3FFFE8B8DB,100009
0AE9C64264B70D3F8FFA6BDB4AF95F7827FE6867,100010
510E888D400C6D68ED8F831C7F2174910D2058C4,100011
8AB38CFF86B847572FCD31F10CBB708A40327B37,100012
9484778AA484140BB81AE2EC0B276794C71AFF30,100013
11DE83117B978FE40FF0F696664D31156505E6D2,100014
8A99BFA7979DEC7241D42650E22E1C81EA124B3F,100015
C3642B61050DF1EBD6924FD3F6C96A6DFFB2C3C9,100016
9C7D7C60C8733AAE02EFD8AEB02A33A48860FFAC,100017
BE73F3134ABB3312A52B85D0950BA56D8B0E5D4D,100018
541F93C4FA9C053F059CBD735792092E6FF80ACA,100019
3A55852266CA88A28BB285840ABFC84D85D33A84,100020
24A7C25AD98D4BFEAF38C652E530FBC4556DDA3D,100021
B1E92702043AD44E405973936D13F780572D8378,100022
8DEFB850560F9E6BBD72A03DBEE518E8AB11009D,100023
F75BF6885D3BFD1A94AFD33728323875FF478AFF,100024
6440F533C122CCCE1F123670A5B90E47DF480996,100025
0C5FEBF8D626E810405B0B489E06F3CDE7B8508F,100026
2E43E9771DB4D6761B2BFD582063805F06D6609B,100027
B3A3F1935F736BE9DB44A96D2ACF80709A7AD753,100028
CE2D760EDDC67327A7315E5AF6D182D4E519B9D7,100029
7D4C115E74FDE43E58E65432911CA91DA07BAD88,100030
59111FA114C256F03E4F2FCF7EE97B678DD02C20,100031
93B9765F2EAB9C717F00FD8302CB0D3B93F888A0,100032
7D09AC0F30E4A2DBC996C74FD6D28740A00DE5F6,100033
CAF53E63421C382934350893AAAF61777C8EA78C,100034
9D8A50BDFD4009EB66B488C8E2250770D88E6259,100035
5CE0126DB16F6F5801CA7F9D83943979CA661D9A,100036
CC5ECE2079A2738B54D0C4F87FECC99E8835186E,100037
3CAA165AA7F234EA3DD8EBC672EEED7A8BD4D3B1,100038
C3B494CFD8A9A408D6F8E4BB38F6D90710ED4119,100039
